Subject,Start Date,End Date,Start Time,End Time,Description,Location
夜鷹 vs Buddyclub,12/06/2020,12/06/2020,08:00 AM,09:00 AM,2021 陽明山慢速壘球聯盟 春季熱身賽,A場地
Buddyclub vs 江南虎,12/06/2020,12/06/2020,10:00 AM,11:00 AM,2021 陽明山慢速壘球聯盟 春季熱身賽,A場地
Buddyclub vs 東林扶輪社,12/13/2020,12/13/2020,09:00 AM,10:00 AM,2021 陽明山慢速壘球聯盟 春季熱身賽,B場地
黃金台科 vs Buddyclub,12/13/2020,12/13/2020,10:00 AM,11:00 AM,2021 陽明山慢速壘球聯盟 春季熱身賽,B場地
太和騰 vs Buddyclub,12/20/2020,12/20/2020,08:00 AM,09:00 AM,2021 陽明山慢速壘球聯盟 春季熱身賽,C場地
Buddyclub vs 自動人,12/20/2020,12/20/2020,10:00 AM,11:00 AM,2021 陽明山慢速壘球聯盟 春季熱身賽,C場地
Buddyclub vs 磺溪,01/10/2021,01/10/2021,08:00 AM,09:00 AM,2021 陽明山慢速壘球聯盟 春季熱身賽,A場地
益萊 vs Buddyclub,01/10/2021,01/10/2021,09:00 AM,10:00 AM,2021 陽明山慢速壘球聯盟 春季熱身賽,A場地
