Subject,Start Date,End Date,Start Time,End Time,Description,Location
悍馬 vs 逢聯,12/06/2020,12/06/2020,08:00 AM,09:00 AM,2021 陽明山慢速壘球聯盟 春季熱身賽,B場地
大日停車場 vs 悍馬,12/06/2020,12/06/2020,09:00 AM,10:00 AM,2021 陽明山慢速壘球聯盟 春季熱身賽,B場地
Comebuy vs 悍馬,12/13/2020,12/13/2020,02:00 PM,03:00 PM,2021 陽明山慢速壘球聯盟 春季熱身賽,C場地
悍馬 vs 蝸牛,12/13/2020,12/13/2020,04:00 PM,05:00 PM,2021 陽明山慢速壘球聯盟 春季熱身賽,C場地
悍馬 vs Maddog,01/10/2021,01/10/2021,09:00 AM,10:00 AM,2021 陽明山慢速壘球聯盟 春季熱身賽,C場地
利可富 vs 悍馬,01/10/2021,01/10/2021,10:00 AM,11:00 AM,2021 陽明山慢速壘球聯盟 春季熱身賽,C場地
悍馬 vs cenyu,01/17/2021,01/17/2021,11:00 AM,12:00 PM,2021 陽明山慢速壘球聯盟 春季熱身賽,B場地
鉅星燈飾 vs 悍馬,01/17/2021,01/17/2021,12:00 PM,01:00 PM,2021 陽明山慢速壘球聯盟 春季熱身賽,B場地
