Subject,Start Date,End Date,Start Time,End Time,Description,Location
天母 vs 高山校,12/06/2020,12/06/2020,02:00 PM,03:00 PM,2021 陽明山慢速壘球聯盟 春季熱身賽,C場地
高山校 vs 逢聯OB,12/06/2020,12/06/2020,04:00 PM,05:00 PM,2021 陽明山慢速壘球聯盟 春季熱身賽,C場地
高山校 vs 可樂旅遊,12/20/2020,12/20/2020,03:00 PM,04:00 PM,2021 陽明山慢速壘球聯盟 春季熱身賽,A場地
石牌人 vs 高山校,12/20/2020,12/20/2020,04:00 PM,05:00 PM,2021 陽明山慢速壘球聯盟 春季熱身賽,A場地
高山校 vs 海蛟中隊,12/27/2020,12/27/2020,11:00 AM,12:00 PM,2021 陽明山慢速壘球聯盟 春季熱身賽,A場地
獵狐 vs 高山校,12/27/2020,12/27/2020,12:00 PM,01:00 PM,2021 陽明山慢速壘球聯盟 春季熱身賽,A場地
高山校 vs 咚咚強,01/10/2021,01/10/2021,08:00 AM,09:00 AM,2021 陽明山慢速壘球聯盟 春季熱身賽,B場地
南港伙車頭 vs 高山校,01/10/2021,01/10/2021,09:00 AM,10:00 AM,2021 陽明山慢速壘球聯盟 春季熱身賽,B場地
