Subject,Start Date,End Date,Start Time,End Time,Description,Location
利可富 vs 鉅星燈飾,12/06/2020,12/06/2020,11:00 AM,12:00 PM,2021 陽明山慢速壘球聯盟 春季熱身賽,B場地
鉅星燈飾 vs Comebuy,12/06/2020,12/06/2020,01:00 PM,02:00 PM,2021 陽明山慢速壘球聯盟 春季熱身賽,B場地
鉅星燈飾 vs Maddog,12/20/2020,12/20/2020,08:00 AM,09:00 AM,2021 陽明山慢速壘球聯盟 春季熱身賽,B場地
大日停車場 vs 鉅星燈飾,12/20/2020,12/20/2020,09:00 AM,10:00 AM,2021 陽明山慢速壘球聯盟 春季熱身賽,B場地
鉅星燈飾 vs 蝸牛,01/10/2021,01/10/2021,11:00 AM,12:00 PM,2021 陽明山慢速壘球聯盟 春季熱身賽,C場地
逢聯 vs 鉅星燈飾,01/10/2021,01/10/2021,12:00 PM,01:00 PM,2021 陽明山慢速壘球聯盟 春季熱身賽,C場地
鉅星燈飾 vs 悍馬,01/17/2021,01/17/2021,12:00 PM,01:00 PM,2021 陽明山慢速壘球聯盟 春季熱身賽,B場地
cenyu vs 鉅星燈飾,01/17/2021,01/17/2021,01:00 PM,02:00 PM,2021 陽明山慢速壘球聯盟 春季熱身賽,B場地
