Subject,Start Date,End Date,Start Time,End Time,Description,Location
南港伙車頭 vs 海蛟中隊,12/06/2020,12/06/2020,12:00 PM,01:00 PM,2021 陽明山慢速壘球聯盟 春季熱身賽,C場地
可樂旅遊 vs 南港伙車頭,12/06/2020,12/06/2020,01:00 PM,02:00 PM,2021 陽明山慢速壘球聯盟 春季熱身賽,C場地
天母 vs 南港伙車頭,12/20/2020,12/20/2020,11:00 AM,12:00 PM,2021 陽明山慢速壘球聯盟 春季熱身賽,A場地
南港伙車頭 vs 獵狐,12/20/2020,12/20/2020,01:00 PM,02:00 PM,2021 陽明山慢速壘球聯盟 春季熱身賽,A場地
南港伙車頭 vs 高山校,01/10/2021,01/10/2021,09:00 AM,10:00 AM,2021 陽明山慢速壘球聯盟 春季熱身賽,B場地
咚咚強 vs 南港伙車頭,01/10/2021,01/10/2021,10:00 AM,11:00 AM,2021 陽明山慢速壘球聯盟 春季熱身賽,B場地
南港伙車頭 vs 石牌人,01/17/2021,01/17/2021,02:00 PM,03:00 PM,2021 陽明山慢速壘球聯盟 春季熱身賽,A場地
逢聯OB vs 南港伙車頭,01/17/2021,01/17/2021,03:00 PM,04:00 PM,2021 陽明山慢速壘球聯盟 春季熱身賽,A場地
