Subject,Start Date,End Date,Start Time,End Time,Description,Location
逢聯OB vs 天母,12/06/2020,12/06/2020,03:00 PM,04:00 PM,2021 陽明山慢速壘球聯盟 春季熱身賽,C場地
高山校 vs 逢聯OB,12/06/2020,12/06/2020,04:00 PM,05:00 PM,2021 陽明山慢速壘球聯盟 春季熱身賽,C場地
獵狐 vs 逢聯OB,12/13/2020,12/13/2020,08:00 AM,09:00 AM,2021 陽明山慢速壘球聯盟 春季熱身賽,C場地
逢聯OB vs 可樂旅遊,12/13/2020,12/13/2020,10:00 AM,11:00 AM,2021 陽明山慢速壘球聯盟 春季熱身賽,C場地
逢聯OB vs 咚咚強,12/20/2020,12/20/2020,09:00 AM,10:00 AM,2021 陽明山慢速壘球聯盟 春季熱身賽,A場地
海蛟中隊 vs 逢聯OB,12/20/2020,12/20/2020,10:00 AM,11:00 AM,2021 陽明山慢速壘球聯盟 春季熱身賽,A場地
逢聯OB vs 南港伙車頭,01/17/2021,01/17/2021,03:00 PM,04:00 PM,2021 陽明山慢速壘球聯盟 春季熱身賽,A場地
石牌人 vs 逢聯OB,01/17/2021,01/17/2021,04:00 PM,05:00 PM,2021 陽明山慢速壘球聯盟 春季熱身賽,A場地
