Subject,Start Date,End Date,Start Time,End Time,Description,Location
Comebuy vs 利可富,12/06/2020,12/06/2020,12:00 PM,01:00 PM,2021 陽明山慢速壘球聯盟 春季熱身賽,B場地
鉅星燈飾 vs Comebuy,12/06/2020,12/06/2020,01:00 PM,02:00 PM,2021 陽明山慢速壘球聯盟 春季熱身賽,B場地
Comebuy vs 悍馬,12/13/2020,12/13/2020,02:00 PM,03:00 PM,2021 陽明山慢速壘球聯盟 春季熱身賽,C場地
蝸牛 vs Comebuy,12/13/2020,12/13/2020,03:00 PM,04:00 PM,2021 陽明山慢速壘球聯盟 春季熱身賽,C場地
大日停車場 vs Comebuy,01/10/2021,01/10/2021,02:00 PM,03:00 PM,2021 陽明山慢速壘球聯盟 春季熱身賽,C場地
Comebuy vs cenyu,01/10/2021,01/10/2021,04:00 PM,05:00 PM,2021 陽明山慢速壘球聯盟 春季熱身賽,C場地
Comebuy vs 逢聯,01/17/2021,01/17/2021,03:00 PM,04:00 PM,2021 陽明山慢速壘球聯盟 春季熱身賽,B場地
Maddog vs Comebuy,01/17/2021,01/17/2021,04:00 PM,05:00 PM,2021 陽明山慢速壘球聯盟 春季熱身賽,B場地
