Subject,Start Date,End Date,Start Time,End Time,Description,Location
大日停車場 vs 悍馬,12/06/2020,12/06/2020,09:00 AM,10:00 AM,2021 陽明山慢速壘球聯盟 春季熱身賽,B場地
逢聯 vs 大日停車場,12/06/2020,12/06/2020,10:00 AM,11:00 AM,2021 陽明山慢速壘球聯盟 春季熱身賽,B場地
大日停車場 vs 鉅星燈飾,12/20/2020,12/20/2020,09:00 AM,10:00 AM,2021 陽明山慢速壘球聯盟 春季熱身賽,B場地
Maddog vs 大日停車場,12/20/2020,12/20/2020,10:00 AM,11:00 AM,2021 陽明山慢速壘球聯盟 春季熱身賽,B場地
大日停車場 vs Comebuy,01/10/2021,01/10/2021,02:00 PM,03:00 PM,2021 陽明山慢速壘球聯盟 春季熱身賽,C場地
cenyu vs 大日停車場,01/10/2021,01/10/2021,03:00 PM,04:00 PM,2021 陽明山慢速壘球聯盟 春季熱身賽,C場地
蝸牛 vs 大日停車場,01/17/2021,01/17/2021,08:00 AM,09:00 AM,2021 陽明山慢速壘球聯盟 春季熱身賽,B場地
大日停車場 vs 利可富,01/17/2021,01/17/2021,10:00 AM,11:00 AM,2021 陽明山慢速壘球聯盟 春季熱身賽,B場地
