Subject,Start Date,End Date,Start Time,End Time,Description,Location
海蛟中隊 vs 可樂旅遊,12/06/2020,12/06/2020,11:00 AM,12:00 PM,2021 陽明山慢速壘球聯盟 春季熱身賽,C場地
可樂旅遊 vs 南港伙車頭,12/06/2020,12/06/2020,01:00 PM,02:00 PM,2021 陽明山慢速壘球聯盟 春季熱身賽,C場地
可樂旅遊 vs 獵狐,12/13/2020,12/13/2020,09:00 AM,10:00 AM,2021 陽明山慢速壘球聯盟 春季熱身賽,C場地
逢聯OB vs 可樂旅遊,12/13/2020,12/13/2020,10:00 AM,11:00 AM,2021 陽明山慢速壘球聯盟 春季熱身賽,C場地
可樂旅遊 vs 石牌人,12/20/2020,12/20/2020,02:00 PM,03:00 PM,2021 陽明山慢速壘球聯盟 春季熱身賽,A場地
高山校 vs 可樂旅遊,12/20/2020,12/20/2020,03:00 PM,04:00 PM,2021 陽明山慢速壘球聯盟 春季熱身賽,A場地
可樂旅遊 vs 咚咚強,01/17/2021,01/17/2021,08:00 AM,09:00 AM,2021 陽明山慢速壘球聯盟 春季熱身賽,A場地
天母 vs 可樂旅遊,01/17/2021,01/17/2021,09:00 AM,10:00 AM,2021 陽明山慢速壘球聯盟 春季熱身賽,A場地
